Playlist,Curator,Followers,28-Day Change,28-Day Add,Genres,Personalized,Track Age,Playlist Updated,Playlist ID,Playlist Url,Spotify Playlist ID,Spotify Playlist URL,Curator ID,Curator URL,Spotify Curator ID,Spotify Curator URL
Rock 4Ever,Rock Music,32.43K,0,0%,"Rock, Alternative, Hip-Hop/Rap",No,frontline,"Mar 27, 2022",9648126,/playlist/spotify?id=9648126,5Rv87S4YSUfPleEoZX0L4c,https://open.spotify.com/user/314rl734ffpjxeuveo4oepy6ml2q/playlist/5Rv87S4YSUfPleEoZX0L4c,20411094,/curator/spotify?id=9648126,314rl734ffpjxeuveo4oepy6ml2q,https://open.spotify.com/user/314rl734ffpjxeuveo4oepy6ml2q
dnd,liv zappia,32.42K,-179,0%,"Pop, Alternative, Hip-Hop/Rap",No,catalogue,"Nov 23, 2022",1880663,/playlist/spotify?id=1880663,3Pdx87LdiBrdzgzthpqptY,https://open.spotify.com/user/oliviazappiaa/playlist/3Pdx87LdiBrdzgzthpqptY,274193,/curator/spotify?id=1880663,oliviazappiaa,https://open.spotify.com/user/oliviazappiaa
Throw backs 2000+,Ryan Machin,32.41K,-47,0%,"Pop, Hip-Hop/Rap, R&B/Soul",No,catalogue,"Jan 11, 2023",1112335,/playlist/spotify?id=1112335,3lTPdAzqPYYhyKFA2wT94T,https://open.spotify.com/user/21egt52bzjw76nhitw5wy7x4a/playlist/3lTPdAzqPYYhyKFA2wT94T,191645,/curator/spotify?id=1112335,21egt52bzjw76nhitw5wy7x4a,https://open.spotify.com/user/21egt52bzjw76nhitw5wy7x4a
Drill Remix’s Of Popular Songs,Ali,32.41K,4429,10%,"Hip-Hop/Rap, Pop, R&B/Soul",No,frontline,"Jan 15, 2023",12075897,/playlist/spotify?id=12075897,3Zu1ZSG4bXzXxdG8EyDmty,https://open.spotify.com/user/k1g52iovobhn1b8i46seajrkw/playlist/3Zu1ZSG4bXzXxdG8EyDmty,21524682,/curator/spotify?id=12075897,k1g52iovobhn1b8i46seajrkw,https://open.spotify.com/user/k1g52iovobhn1b8i46seajrkw
Urban Italy,Luca Beretti,32.40K,-9607,100%,"Hip-Hop/Rap, Pop, Dance",No,frontline,"Jan 19, 2023",8011329,/playlist/spotify?id=8011329,3KtrwWLqb4dEiZqXn1UisB,https://open.spotify.com/user/55uzy0too5eh4uhmrc8mvjoim/playlist/3KtrwWLqb4dEiZqXn1UisB,19052045,/curator/spotify?id=8011329,55uzy0too5eh4uhmrc8mvjoim,https://open.spotify.com/user/55uzy0too5eh4uhmrc8mvjoim
Unnamed Playlist,TodaysGeneration,32.40K,-147,0%,"Hip-Hop/Rap, R&B/Soul, Pop",No,catalogue,"Apr 26, 2021",2085287,/playlist/spotify?id=2085287,1qDG2Kr5iKAj4IjlxwJ0cu,https://open.spotify.com/user/kor3wjfaaobanwyyg77wuqzag/playlist/1qDG2Kr5iKAj4IjlxwJ0cu,323039,/curator/spotify?id=2085287,kor3wjfaaobanwyyg77wuqzag,https://open.spotify.com/user/kor3wjfaaobanwyyg77wuqzag
SMASHES,Magnum Network,32.39K,0,0%,"Alternative, Rock, Hip-Hop/Rap",No,catalogue,"Sep 01, 2021",1688715,/playlist/spotify?id=1688715,6POyz4K2X6d0RzyAvozWBE,https://open.spotify.com/user/jhibp8osm6w3ki9bq2iyjcbgp/playlist/6POyz4K2X6d0RzyAvozWBE,225397,/curator/spotify?id=1688715,jhibp8osm6w3ki9bq2iyjcbgp,https://open.spotify.com/user/jhibp8osm6w3ki9bq2iyjcbgp
2016 vibes,Sonya Uskach,32.38K,1400,0%,"Pop, Hip-Hop/Rap, Rock",No,catalogue,"Jan 11, 2023",2405838,/playlist/spotify?id=2405838,2sEgmg0XAHYh79f8KX0SHi,https://open.spotify.com/user/sonyauskach/playlist/2sEgmg0XAHYh79f8KX0SHi,14479015,/curator/spotify?id=2405838,sonyauskach,https://open.spotify.com/user/sonyauskach
Greatest of all time⚡️ Juicy Fresh,Loud Sound 🔊 Mayor Bans,32.38K,10,100%,"Alternative, R&B/Soul, Hip-Hop/Rap",No,frontline,"Jan 16, 2023",14260724,/playlist/spotify?id=14260724,3imKnMDjIeodhH5V19ViRc,https://open.spotify.com/user/lkfd6bo1tkoyipciakg1jf4uy/playlist/3imKnMDjIeodhH5V19ViRc,23080356,/curator/spotify?id=14260724,lkfd6bo1tkoyipciakg1jf4uy,https://open.spotify.com/user/lkfd6bo1tkoyipciakg1jf4uy
"Clutch-Time: NBA 2k Basketball Rap ",Game Noize,32.38K,3258,45%,"Hip-Hop/Rap, R&B/Soul, Pop",No,frontline,"Jan 20, 2023",11953696,/playlist/spotify?id=11953696,0HUCZSi4mN5eXAgRuzaphH,https://open.spotify.com/user/31ahcufifgyu5r5wtasidinnbtbm/playlist/0HUCZSi4mN5eXAgRuzaphH,20320224,/curator/spotify?id=11953696,31ahcufifgyu5r5wtasidinnbtbm,https://open.spotify.com/user/31ahcufifgyu5r5wtasidinnbtbm
